PharmGKB Accession Id;Drug;ATC Identifiers;Type;Clin_Var_Pathway
PA166305842;EPIDERMAL GROWTH FACTOR RECEPTOR (EGFR) TYROSINE KINASE INHIBITORS;L01EB;Drug Class;27:257:0
PA164764489;EPINASTINE;R06AX24, S01GX10;Drug;0:0:0
PA449470;EPINEPHRINE;A01AD01, B02BC09, C01CA24, R01AA14, R03AA01, S01EA01;Drug;0:0:2
PA452611;EPIPODOPHYLLOTOXIN;;Drug;0:0:0
PA164749044;EPLERENONE;C03DA04;Drug;0:0:2
PA164712740;EPOXIDES;L01AG;Drug Class;0:0:0
PA449481;EPROSARTAN;C09CA02;Drug;0:0:0
PA449483;EPTIFIBATIDE;B01AC16;Drug;0:0:1
PA166320922;EPTINEZUMAB;N02CD05;Drug;0:0:1
PA166238941;EQUILENIN SULFATE;;Drug;0:0:0
PA166238861;EQUILIN SULFATE;;Drug;0:0:0
PA449484;ERGOCALCIFEROL;A11CC01;Drug;0:0:1
PA164752439;ERGOLOID MESYLATE;C04AE01;Drug;0:0:0
PA449487;ERGONOVINE;G02AB03;Drug;0:0:0
PA164712744;ERGOT ALKALOIDS AND OXYTOCIN INCL. ANALOGUES, IN COMBINATION;G02AC;Drug Class;0:0:0
PA164747651;ERGOTAMINE;N02CA02;Drug;0:0:0
PA166182723;ERIBULIN;L01XX41;Drug;0:0:0
PA164777032;ERTAPENEM;J01DH03;Drug;0:0:0
PA166269521;ERTUGLIFLOZIN;A10BK04;Drug;0:0:0
PA165291442;ERTUMAXOMAB;;Drug;0:0:0
PA164746528;ERYTHRITYL TETRANITRATE;C01DA13;Drug;0:0:0
PA166176008;ERYTHROMYCIN ETHYLSUCCINATE / SULFISOXAZOLE ACETYL;;Drug;0:0:0
PA10072;ERYTHROPOIETIN;B03XA01;Drug;0:5:0
PA10074;ESCITALOPRAM;N06AB10;Drug;27:202:1
PA166364961;ESKETAMINE;;Drug;0:0:0
PA165947475;ESLICARBAZEPINE ACETATE;;Prodrug;0:6:1
PA449500;ESMOLOL;C07AB09;Drug;0:0:0
PA166184493;ESOMEPRAZOLE / NAPROXEN;;Drug;0:0:0
PA449502;ESTAZOLAM;N05CD04;Drug;0:0:0
PA164712745;ESTERS OF AMINOBENZOIC ACID;N01BA;Drug Class;0:0:0
PA164712746;ESTERS OF BENZOIC ACID;N01BC;Drug Class;23:76:0
PA166190221;ESTRADIOL / PROGESTERONE;G03AA;Drug;0:0:0
PA166278261;ESTRADIOL VALERATE;G03C;Drug;0:0:0
PA449507;ESTRAMUSTINE;L01XX11;Drug;0:0:0
PA164712747;ESTREN DERIVATIVES;A14AB, G03DC;Drug Class;0:0:0
PA164769104;ESTRIOL;G03CA04, G03CC06;Drug;0:0:0
PA449509;ESTROGENS;G03C, L02AA;Drug Class;5:35:0
PA164712749;ESTROGENS, COMBINATIONS WITH OTHER DRUGS;G03CC;Drug Class;0:1:0
PA449512;ESTRONE;G03CA07, G03CC04;Drug, Biological Intermediate;0:1:1
PA165958342;ESTROPIPATE;;Drug;0:0:0
PA162630444;ESZOPICLONE;N05CF04;Drug;0:0:0
PA449515;ETANERCEPT;L04AB01;Drug;15:99:0
PA166255861;ETESEVIMAB;;Drug;0:0:0
PA449518;ETHACRYNIC ACID;C03CC01;Drug;0:0:0
PA164746758;ETHANOLAMINE OLEATE;C05BB01;Drug;0:0:0
PA164746383;ETHCHLORVYNOL;N05CM08;Drug;0:0:0
PA449525;ETHER;;Drug;0:0:0
PA164712750;ETHERS;N01AA;Drug Class;0:0:0
PA164712751;ETHERS CHEMICALLY CLOSE TO ANTIHISTAMINES;N04AB;Drug Class;0:0:0
PA164712753;ETHERS, CHEMICALLY CLOSE TO ANTIHISTAMINES;M03BC;Drug Class;0:0:0
PA164712752;ETHERS OF TROPINE OR TROPINE DERIVATIVES;N04AC;Drug Class;0:0:0
PA164745394;ETHINAMATE;;Drug;0:0:0
PA449527;ETHINYL ESTRADIOL;G03CA01, L02AA03;Drug;0:0:0
PA165290929;ETHINYL ESTRADIOL / NORELGESTROMIN;G03AA13;Drug;0:0:0
PA164768833;ETHIODIZED OIL;;Drug;0:0:0
PA164768738;ETHIONAMIDE;J04AD03;Drug;0:0:0
PA449531;ETHOPROPAZINE;N04AA05;Drug;0:0:0
PA164768735;ETHOTOIN;N03AB01;Drug;0:0:0
PA164754743;ETHOXZOLAMIDE;;Drug;0:0:0
PA164712754;ETHYLENE IMINES;L01AC;Drug Class;2:3:0
PA164749157;ETHYNODIOL DIACETATE;G03DC06;Drug;0:0:0
PA449550;ETODOLAC;M01AB08;Drug;0:0:0
PA164743987;ETOMIDATE;N01AX07;Drug;0:0:0
PA164771231;ETONOGESTREL;G03AC08;Drug;0:3:0
PA164776853;ETORICOXIB;M01AH05;Drug;0:0:0
PA166328841;ETRASIMOD;L04AE05;Drug;0:0:0
PA449554;ETRETINATE;D05BB01;Drug;0:0:0
PA166341581;EUGENOL;;Drug;0:0:0
PA166177894;EVACETRAPIB;;Drug;0:1:0
PA166222281;EVINACUMAB;C10AX17;Drug;0:0:1
PA165860788;EVODIAMINE;;Drug;0:1:0
PA166160027;EVOLOCUMAB;C10AX13;Drug;0:0:1
PA164749238;EXENATIDE;A10BJ01;Drug;0:10:0
PA164712755;EXPECTORANTS;R05CA;Drug Class;0:0:0
PA164712756;EXPECTORANTS, EXCL. COMBINATIONS WITH COUGH SUPPRESSANTS;R05C;Drug Class;1:6:0
PA10816;EZETIMIBE;C10AX09;Drug;0:5:0
PA166184498;EZETIMIBE / ROSUVASTATIN;C10BA06;Drug;0:0:0
PA166184495;EZETIMIBE / SIMVASTATIN;C10BA02;Drug;0:0:0
PA449585;FAMCICLOVIR;J05AB09, S01AD07;Drug;0:0:0
PA166362701;FAMITINIB;;Drug;0:0:0
PA449586;FAMOTIDINE;A02BA03;Drug;0:12:0
PA166123389;FAMPRIDINE;N07XX07;Drug;0:0:0
PA152207466;FARNESYLTRANSFERASE INHIBITORS;;Drug Class;0:0:0
PA165946121;FASUDIL;C04AX32;Drug;0:0:0
PA164712757;FAT/CARBOHYDRATES/PROTEINS/MINERALS/VITAMINS, COMBINATIONS;V06DB;Drug Class;0:0:0
PA164712758;FATTY ACID DERIVATIVES;N03AG;Drug Class;24:127:0
PA166196742;FAVIPIRAVIR;;Drug;0:0:0
PA166227662;FEBUXOSTAT 67M-4;;Drug;0:0:1
PA166280361;FEDRATINIB;L01EJ02;Drug;0:0:0
PA449590;FELBAMATE;N03AX10;Drug;0:0:0
PA166049177;FELBINAC;;Drug;0:0:0
PA449591;FELODIPINE;C08CA02;Drug;0:5:0
PA164744374;FELYPRESSIN;;Drug;0:0:0
PA164712759;FENAMATES;M01AG;Drug Class;0:0:0
PA166049176;FENBUFEN;;Drug;0:0:0
PA164747055;FENCAMFAMINE;N06BA06;Drug;0:0:0
PA449592;FENFLURAMINE;A08AA02;Drug;0:0:0
PA166248881;FENOFIBRATE / SIMVASTATIN;C10BA04;Drug;0:0:0
PA164784034;FENOLDOPAM;C01CA19;Drug;0:0:0
PA449597;FENOPROFEN;M01AE04;Drug;0:0:0
PA10079;FENOTEROL;G02CA03, R03AC04, R03CC04;Drug;0:9:2
PA449599;FENTANYL;N01AH01, N02AB03;Drug;48:251:1
PA449617;FERROUS SULFATE;;Drug;0:0:0
PA166182922;FEVIPIPRANT;;Drug;0:0:0
PA166321121;FEZOLINETANT;G02CX06;Drug;0:0:0
PA166123367;FIBOFLAPON;;Drug;0:2:0
PA164712760;FIBRATES;C10AB;Drug Class;17:55:0
PA164712761;FIBRINOGEN;B02BB;Drug Class;0:0:0
PA166305961;FIBROBLAST GROWTH FACTOR RECEPTOR (FGFR) TYROSINE KINASE INHIBITORS;L01EN;Drug Class;0:0:0
PA449626;FILGRASTIM;L03AA02;Drug;0:0:0
PA449627;FINASTERIDE;D11AX10, G04CB01;Drug;0:0:0
PA166264521;FINGOLIMOD;;Drug;0:0:0
PA166049194;FIROCOXIB;;Drug;0:0:0
PA166352541;FIRSOCOSTAT;;Drug;0:0:0
PA164712762;FIRST-GENERATION CEPHALOSPORINS;J01DB;Drug Class;1:1:0
PA452627;FLAVOPIRIDOL;;Drug;0:0:0
PA164781386;FLAVOXATE;G04BD02;Drug;0:0:0
PA449646;FLECAINIDE;C01BC04;Drug;4:15:0
PA164774762;FLEROXACIN;J01MA08;Drug;0:0:0
PA166153431;FLIBANSERIN;G02CX02;Drug;0:0:0
PA164781042;FLUCLOXACILLIN;J01CF05;Drug;2:17:0
PA449653;FLUCONAZOLE;D01AC15, J02AC01;Drug;0:17:0
PA449654;FLUCYTOSINE;D01AE21, J02AX01;Drug;0:0:0
PA164745609;FLUDIAZEPAM;N05BA17;Drug;0:0:0
PA164743961;FLUDROCORTISONE;H02AA02;Drug;0:0:0
PA166049190;FLUFENAMIC ACID;;Drug;0:0:0
PA449659;FLUMAZENIL;V03AB25;Drug;0:0:0
PA164749388;FLUMETHASONE PIVALATE;;Drug;0:0:0
PA164776636;FLUNARIZINE;N07CA03;Drug;0:0:0
PA164781320;FLUNITRAZEPAM;N05CD03;Drug;0:0:1
PA166049179;FLUNOXAPROFEN;;Drug;0:0:0
PA164754912;FLUOCINOLONE ACETONIDE;C05AA10, D07AC04, S01BA15, S02BA08;Drug;0:0:0
PA449664;FLUOCINONIDE;C05AA11, D07AC08;Drug;0:0:0
PA164746009;FLUORESCEIN;S01JA01;Drug;0:0:0
PA164781355;FLUOROMETHOLONE;C05AA06, D07AB06, D07XB04, D10AA01, S01BA07, S01CB05;Drug;0:0:0
PA452613;FLUOROQUINOLONES;J01MA;Drug Class;1:10:0
PA128406956;FLUOROURACIL;L01BC02, L01BC52;Drug;197:1024:2
PA166183787;FLUOROURACIL / SALICYLIC ACID;L01BC52;Drug;0:0:0
PA166176027;FLUOXETINE / OLANZAPINE;;Drug;0:0:0
PA164744518;FLUOXYMESTERONE;G03BA01;Drug;0:0:0
PA10268;FLUPENTHIXOL;N05AF01;Drug;0:3:0
PA449676;FLUPHENAZINE;N05AB02;Drug;0:0:0
PA164750513;FLURANDRENOLIDE;D07AC07;Drug;0:0:0
PA449681;FLURAZEPAM;N05CD01;Drug;0:0:1
PA449683;FLURBIPROFEN;M01AE09, M02AA19, R02AX01, S01BC04;Drug;2:8:1
PA162565878;FLUSPIRILENE;N05AG01;Drug;0:0:0
PA449685;FLUTAMIDE;L02BB01;Drug;0:0:0
PA166182582;FLUTICASONE;;Drug;0:1:0
PA449688;FLUVASTATIN;C10AA04;Drug;20:68:1
PA449690;FLUVOXAMINE;N06AB08;Drug;13:87:3
PA166182863;FOLFIRI;;Drug;4:64:0
PA150481187;FOLIC ACID ANALOGUES;L01BA;Drug Class;188:1006:0
PA164712763;FOLIC ACID AND DERIVATIVES;B03BB;Drug Class;6:23:0
PA449697;FOMEPIZOLE;V03AB34;Drug;0:0:0
PA164746297;FONDAPARINUX SODIUM;;Drug;0:0:0
PA164776845;FORASARTAN;;Drug;0:0:0
PA166185382;FORETINIB;;Drug;0:0:0
PA449703;FORMALDEHYDE;;Drug, Biological Intermediate;0:0:1
PA449705;FORMIC ACID;;Drug;0:0:0
PA134687907;FORMOTEROL;R03AC13;Drug;0:3:2
PA146096022;FORSKOLIN;;Drug;0:3:0
PA10084;FOSAMPRENAVIR;J05AE07;Drug;0:0:0
PA166182625;FOSAMPRENAVIR / RITONAVIR;;Drug;0:0:0
PA165958390;FOSAPREPITANT;;Drug;0:0:1
PA449706;FOSCARNET;J05AD01;Drug;0:0:0
PA164748039;FOSFOMYCIN;J01XX01;Drug;0:0:0
PA449710;FOSINOPRIL;C09AA09;Drug;0:0:0
PA164746820;FOSPHENYTOIN;N03AB05;Prodrug;0:0:1
PA165958389;FOSPROPOFOL;;Drug;0:0:0
PA164712764;FOURTH-GENERATION CEPHALOSPORINS;J01DE;Drug Class;0:0:0
PA164743181;FRAMYCETIN;D09AA01, R01AX08, S01AA07;Drug;0:0:0
PA164754891;FROVATRIPTAN;N02CC07;Drug;0:7:1
PA449716;FRUCTOSE;V06DC02;Drug, Biological Intermediate;0:0:1
PA166328842;FRUQUINTINIB;L01EK04;Drug;0:0:0
PA452614;FURAFYLLINE;;Drug;0:0:1
PA164746760;FURAZOLIDONE;G01AX06;Drug;0:0:0
PA166329761;FURMONERTINIB;;Drug;0:0:1
PA164749648;FUSIDIC ACID;D06AX01, D09AA02, J01XC01, S01AA13;Drug;0:0:0
PA164745426;GADOBENATE DIMEGLUMINE;V08CA08;Drug;0:0:0
PA165958377;GADOBUTROL;V08CA09;Drug;0:0:0
PA164784027;GADODIAMIDE;V08CA03;Drug;0:0:0
PA165958378;GADOFOSVESET TRISODIUM;V08CA11;Drug;0:0:0
PA164748760;GADOPENTETATE DIMEGLUMINE;;Drug;0:0:0
PA164746463;GADOTERIDOL;V08CA04;Drug;0:0:0
PA164743703;GADOVERSETAMIDE;V08CA06;Drug;0:0:0
PA165985534;GADOXETIC ACID;;Drug;0:0:0
PA449725;GALACTOSE;;Drug;0:0:0
PA166197481;GALIDESIVIR;;Drug;0:0:0
PA164745088;GALLAMINE TRIETHIODIDE;;Drug;0:0:0
PA164781198;GALLIUM NITRATE;;Drug;0:0:0
PA164746235;GALSULFASE;A16AB08;Drug;0:0:0
PA164743249;GAMMA-HOMOLINOLENIC ACID;;Drug;0:0:0
PA10819;GAMMA HYDROXYBUTYRIC ACID;;Drug;0:0:0
PA166328062;GAMMA SCHIZANDRIN;;Drug;0:0:0
PA166354221;GANAPLACIDE;;Drug;0:0:0
PA449733;GANCICLOVIR;J05AB06, S01AD09;Drug;0:1:1
PA164712765;GANGLIOSIDES AND GANGLIOSIDE DERIVATIVES;N07XA;Drug Class;0:0:0
PA449737;GARLIC OIL;;Drug;0:0:0
PA449738;GATIFLOXACIN;J01MA16, S01AE06;Drug;0:0:0
PA166415181;GEDATOLISIB;;Drug;0:0:0
PA166336741;GEFAPIXANT;R05DB29;Drug;0:0:0
PA449741;GELATIN AGENTS;;Drug;0:0:0
PA166122506;GEMCITABINE TRIPHOSPHATE DITRIETHYLAMINE;;Drug;0:0:0
PA449750;GEMFIBROZIL;C10AB04;Drug;0:0:0
PA10088;GEMIFLOXACIN;J01MA15;Drug;0:0:0
PA166368181;GEMIGLIPTIN;A10BH06;Drug;0:0:0
PA164712766;GENERAL NUTRIENTS;V06;Drug Class;0:0:0
PA165109660;GENISTEIN;;Drug;0:0:0
PA164712767;GENITO URINARY SYSTEM AND SEX HORMONES;G;Drug Class;90:320:0
PA449753;GENTAMICIN;D06AX07, J01GB03, S01AA11, S02AA14, S03AA06;Drug;4:41:1
PA449755;GENTIAN VIOLET;;Drug;0:0:0
PA165958397;GESTODENE;;Drug;0:0:0
PA166190061;GIMERACIL;;Drug;0:0:0
PA449758;GINKGO BILOBA;N06DX02;Drug;0:0:0
PA166118565;GINKGO BILOBA EXTRACT;;Drug;0:0:0
PA164781150;GINSENG;;Drug;0:0:0
PA166190681;GIVOSIRAN;A16AX16;Drug;0:0:0
PA166327122;GLASDEGIB;L01XJ03;Drug;0:0:0
PA166337141;GLECAPREVIR;;Drug;0:0:0
PA166337121;GLECAPREVIR / PIBRENTASVIR;J05AP57;Drug;0:0:0
PA164744895;GLIQUIDONE;A10BB08;Drug;0:10:0
PA164743233;GLISOXEPIDE;A10BB11;Drug;0:0:0
PA166350081;GLP-1 RECEPTOR AGONISTS;A10BJ;Drug Class;0:35:1
PA164779052;GLUCAGON RECOMBINANT;H04AA01;Drug;0:0:0
PA449770;GLUCONIC ACID;;Drug, Biological Intermediate;0:0:0
PA164747613;GLUCOSAMINE;M01AX05;Drug;0:0:0
PA449773;GLUCOSE;;Drug, Biological Intermediate;0:5:1
PA449777;GLUTARALDEHYDE;;Drug;0:0:0
PA164749505;GLUTETHIMIDE;N05CE01;Drug;0:0:0
PA449783;GLYCERIN;;Drug;0:0:0
PA449789;GLYCINE;B05CX03;Drug, Biological Intermediate;0:0:2
PA164748839;GLYCODIAZINE;A10BC01;Drug;0:0:0
PA164712768;GLYCOGENOLYTIC HORMONES;H04A, H04AA;Drug Class;0:0:0
PA164712770;GLYCOPEPTIDE ANTIBACTERIALS;J01XA;Drug Class;2:45:0
PA164754882;GLYCOPYRROLATE;A03AB02, R03BB06;Drug;0:0:0
PA140222783;GLYCYL-SARCOSINE;;Drug;0:0:0
PA449798;GOLD PREPARATIONS;M01CB;Drug Class;0:0:0
PA166316702;GOLIMUMAB;L04AB06;Drug;0:1:0
PA449801;GONADORELIN;H01CA01, V04CM01;Drug;0:0:0
PA164712771;GONADOTROPIN RELEASING HORMONE ANALOGUES;L02AE;Drug Class;0:2:0
PA164712772;GONADOTROPIN-RELEASING HORMONES;H01CA;Drug Class;0:0:0
PA164712773;GONADOTROPINS;G03GA;Drug Class;2:4:0
PA164712774;GONADOTROPINS AND OTHER OVULATION STIMULANTS;G03G;Drug Class;2:4:0
PA164747674;GOSERELIN;L02AE03;Drug;0:1:0
PA449808;GRAMICIDIN D;R02AB30;Drug;0:0:0
PA130620649;GRANULOCYTE COLONY-STIMULATING FACTOR;;Drug, Biological Intermediate;0:0:0
PA151958355;GRAPEFRUIT JUICE;;Drug;0:0:1
PA166163437;GRAZOPREVIR;J05AP11;Drug;0:3:0
PA449812;GREPAFLOXACIN;J01MA11;Drug;0:0:0
PA449814;GRISEOFULVIN;D01AA08, D01BA01;Drug;0:0:0
PA165291499;GS-9350;;Drug;0:0:0
PA449818;GUAIFENESIN;R05CA03;Drug;0:0:0
PA164774903;GUANABENZ;;Drug;0:0:0
PA164745308;GUANADREL SULFATE;;Drug;0:0:0
PA449823;GUANETHIDINE;C02CC02, S01EX01;Drug;0:0:0
PA449825;GUANFACINE;C02AC02;Drug;0:0:0
PA164781028;GUANIDINE;;Drug;0:0:0
PA164712775;GUANIDINE DERIVATIVES;C02CC, C02DG;Drug Class;6:44:0
PA164712777;GUANIDINE DERIVATIVES AND DIURETICS;C02LF;Drug Class;0:0:0
PA166347521;GUMARONTINIB;;Drug;0:0:0
PA134687923;GW2016;;Drug;0:0:0
PA164712778;GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS;G01;Drug Class;54:147:0
PA164712779;H2-RECEPTOR ANTAGONISTS;A02BA;Drug Class;0:26:0
PA10240;HAEMOPHILUS B CONJUGATE VACCINE (PRP-D-DIPHTHERIA TOXOID CONJUGATE);;Drug;0:0:0
PA164746526;HALAZEPAM;N05BA13;Drug;0:0:0
PA164768832;HALOBETASOL PROPIONATE;D07AC21;Drug;0:0:0
PA449839;HALOFANTRINE;P01BX01;Drug;0:0:0
PA164712782;HALOGENATED HYDROCARBONS;N01AB;Drug Class;248:173:0
PA449841;HALOPERIDOL;N05AD01;Drug;10:64:1
PA164768737;HALOPROGIN;D01AE11;Drug;0:0:0
PA449845;HALOTHANE;N01AB01;Drug;47:61:1
PA449848;HELIUM;;Drug;0:0:0
PA449849;HEMIN;;Drug;0:0:0
PA164712783;HEMODIALYTICS AND HEMOFILTRATES;B05Z;Drug Class;0:0:0
PA164712784;HEMODIALYTICS, CONCENTRATES;B05ZA;Drug Class;0:0:0
PA164712785;HEMOFILTRATES;B05ZB;Drug Class;0:0:0
PA10339;HEMOPHILUS INFLUENZAE B VACCINES;J07AG;Drug Class;0:0:0
PA164712786;HEPARIN GROUP;B01AB;Drug Class;1:1:0
PA164712787;HEPARINS OR HEPARINOIDS FOR TOPICAL USE;C05BA;Drug Class;1:1:0
PA164712788;HEPATIC AND RETICULO ENDOTHELIAL SYSTEM;V09D;Drug Class;0:0:0
PA164783812;HEPTABARBITAL;N05CA11;Drug;0:0:0
PA166305964;HER2 (HUMAN EPIDERMAL GROWTH FACTOR RECEPTOR 2) INHIBITORS;L01FD;Drug Class;10:58:0
PA164742902;HESPERETIN;;Drug;0:0:0
PA449867;HESPERIDIN;;Drug;0:0:0
PA164746559;HETACILLIN;J01CA18;Drug;0:0:0
PA449871;HEXACHLOROPHENE;D08AE01;Drug;0:0:0
PA164743020;HEXAFLURONIUM BROMIDE;M03AC05;Drug;0:0:0
PA449875;HEXOBARBITAL;N01AF02, N05CA16;Drug;0:0:0
PA449877;HEXOCYCLIUM;;Drug;0:0:0
PA142899133;HEXOPRENALINE;R03AC06, R03CC05;Drug;0:0:0
PA164746489;HEXYLCAINE;;Drug;0:0:0
PA164712790;HIGH-CEILING DIURETICS;C03C;Drug Class;17:41:0
PA164712791;HIGH-CEILING DIURETICS AND POTASSIUM-SPARING AGENTS;C03EB;Drug Class;0:0:0
PA449880;HISTAMINE PHOSPHATE;V04CG03;Drug;0:0:0
PA164712780;HMG COA REDUCTASE INHIBITORS IN COMBINATION WITH OTHER LIPID MODIFYING AGENTS;C10BA;Drug Class;0:0:0
PA164749405;HOMATROPINE METHYLBROMIDE;;Drug;0:0:0
PA452637;HORMONAL CONTRACEPTIVES FOR SYSTEMIC USE;G03A;Drug Class;8:36:0
PA164712792;HORMONE ANTAGONISTS AND RELATED AGENTS;L02B;Drug Class;73:550:0
PA164712793;HORMONES AND RELATED AGENTS;L02A;Drug Class;0:2:0
PA166222881;HUMAN C1 ESTERASE INHIBITOR;B06AC01;Drug;0:0:0
PA166305884;HUMAN EPIDERMAL GROWTH FACTOR RECEPTOR 2 (HER2) TYROSINE KINASE INHIBITORS;L01EH;Drug Class;2:11:0
PA165958431;HYALURONAN;D03AX05, M09AX01, R01AX09, S01KA01;Drug;0:0:0
PA164745713;HYALURONIDASE;B06AA03;Drug;0:0:0
PA10387;HYDANTOIN DERIVATIVES;N03AB;Drug Class;46:371:0
PA164712794;HYDRAZIDES;J04AC;Drug Class;23:218:0
PA164712795;HYDRAZINOPHTHALAZINE DERIVATIVES;C02DB;Drug Class;3:33:0
PA164712796;HYDRAZINOPHTHALAZINE DERIVATIVES AND DIURETICS;C02LG;Drug Class;0:0:0
PA449900;HYDROCODONE;R05DA03;Drug;7:18:1
PA165290925;HYDROCODONE / ACETOMINOPHEN;N02AJ22;Drug;0:0:0
PA164745515;HYDROCORTAMATE;;Drug;0:0:0
PA449905;HYDROCORTISONE;A01AC03, A07EA02, C05AA01, D07AA02, D07XA01, H02AB09, S01BA02, S01CB03, S02BA01;Drug;0:4:0
PA164752557;HYDROFLUMETHIAZIDE;C03AA02;Drug;0:0:0
PA449917;HYDROGEN PEROXIDE;;Drug;0:0:0
PA166220665;HYDROMORPHOL N-OXIDE;;Drug, Metabolite;0:0:1
PA449918;HYDROMORPHONE;N02AA03;Drug, Metabolite;0:16:1
PA133888889;HYDROQUINIDINE;;Drug;0:0:0
PA449924;HYDROQUINONE;;Drug;0:0:0
PA164768689;HYDROXOCOBALAMIN;B03BA03, V03AB33;Drug;0:0:0
PA166228341;HYDROXYCOBALAMIN;;Drug;0:0:0
PA449932;HYDROXYPROGESTERONE;G03DA03;Drug, Metabolite, Biological Intermediate;0:0:0
PA164746492;HYDROXYPROPYL CELLULOSE;;Drug;0:0:0
PA164712797;HYDROXYQUINOLINE DERIVATIVES;P01AA;Drug Class;0:0:0
PA164745514;HYDROXYSTILBAMIDINE ISETHIONATE;;Drug;0:0:0
PA140222718;HYDROXYTRYPTAMINE;;Drug;0:0:0
PA449943;HYDROXYZINE;N05BB01;Drug;0:1:0
PA166242401;HYGROMYCIN B;;Drug;0:1:0
PA166222902;HYMECROMONE;;Drug;0:0:0
PA164776844;HYOSCYAMINE;A03BA03;Drug;0:0:0
PA165985514;HYPERFORIN;;Drug;0:0:0
PA164712798;HYPERTONIC SOLUTIONS;B05DB;Drug Class;0:0:0
PA164712799;HYPNOTICS AND SEDATIVES;N05C;Drug Class;12:61:0
PA164712800;HYPNOTICS AND SEDATIVES IN COMBINATION, EXCL. BARBITURATES;N05CX;Drug Class;0:0:0
PA164712801;HYPOTHALAMIC HORMONES;H01C;Drug Class;0:0:0
PA10270;IBANDRONATE;M05BA06;Drug;0:1:0
PA166331561;IBOGAINE;;Drug;0:1:0
PA164781375;IBRITUMOMAB;V10XX02;Drug;0:0:0
PA166121346;IBRUTINIB;L01EL01;Drug;0:4:0
PA165958351;IBUDILAST;R03DC04;Drug;0:0:0
PA166049187;IBUFENAC;;Drug;0:0:0
PA449957;IBUPROFEN;C01EB16, G02CC01, M01AE01, M02AA13;Drug;8:46:2
PA449958;IBUTILIDE;C01BD05;Drug;0:2:0
PA164749185;ICATIBANT;B06AC02;Drug;0:0:0
PA164743096;ICODEXTRIN;;Drug;0:0:0
PA164746077;ICOSAPENT;;Drug;0:0:0
PA166306061;IDARUCIZUMAB;V03AB37;Drug;0:0:1
PA164781019;IDOXURIDINE;D06BB01, J05AB02, S01AD01;Drug;0:0:0
PA153627678;IDRAPARINUX;;Drug;0:0:0
PA164749134;IDURSULFASE;A16AB09;Drug;0:0:0
PA449964;IFOSFAMIDE;L01AA06;Drug;0:5:1
PA166178387;IGURATIMOD;;Drug;0:4:0
PA165947499;ILAPRAZOLE;;Drug;0:0:0
PA164746843;ILOPROST;B01AC11;Drug;0:0:0
PA166255842;IMDEVIMAB;J06BD07;Drug;0:0:0
PA164712804;IMIDAZOLE AND TRIAZOLE DERIVATIVES;D01AC;Drug Class;0:29:0
PA164712807;IMIDAZOLE DERIVATIVES;A07AC, G01AF, J01XD, J02AB;Drug Class;1:16:0
PA164712809;IMIDAZOLE DERIVATIVES AND CORTICOSTEROIDS;G01BF;Drug Class;0:0:0
PA164712810;IMIDAZOLINE DERIVATIVES;C04AB;Drug Class;0:0:0
PA164712811;IMIDAZOLINE RECEPTOR AGONISTS;C02AC;Drug Class;2:6:0
PA164712812;IMIDAZOLINE RECEPTOR AGONISTS IN COMBINATION WITH DIURETICS;C02LC;Drug Class;0:0:0
PA164712813;IMIDAZOTHIAZOLE DERIVATIVES;P02CE;Drug Class;0:1:0
PA164742934;IMIGLUCERASE;A16AB02;Drug;0:0:0
PA449968;IMIPENEM;;Drug;0:0:0
PA449969;IMIPRAMINE;N06AA02;Drug;4:36:1
PA164754884;IMMUNE GLOBULIN;;Drug;0:0:0
PA164712814;IMMUNE SERA;J06A, J06AA;Drug Class;0:0:0
PA164712815;IMMUNE SERA AND IMMUNOGLOBULINS;J06;Drug Class;0:0:0
PA164712817;IMMUNOGLOBULINS;J06B;Drug Class;0:3:0
PA164712818;IMMUNOGLOBULINS, NORMAL HUMAN;J06BA;Drug Class;0:0:0
PA164712819;IMMUNOSTIMULANTS;L03, L03A;Drug Class;105:565:0
PA164712821;IMMUNOSUPPRESSANTS;L04, L04A;Drug Class;418:2955:0
PA166268802;INCLISIRAN;C10AX16;Drug;0:0:1
PA164712823;INCONTINENCE EQUIPMENT;V07AN;Drug Class;0:0:0
PA449975;INDAPAMIDE;C03BA11;Drug;0:1:0
PA164754881;INDECAINIDE;;Drug;0:0:0
PA164712824;INDIFFERENT PREPARATIONS;S02DC;Drug Class;0:0:0
PA164712825;INDIUM (111IN) COMPOUNDS;V09HB, V09IB;Drug Class;0:0:0
PA449981;INDOCYANINE GREEN;;Drug;0:0:0
PA164712827;INDOLE DERIVATIVES;N05AE;Drug Class;3:24:0
PA166224921;INEBILIZUMAB;L04AA47;Drug;0:0:0
PA164712828;INFANT FORMULAS;V06C;Drug Class;0:0:0
PA164712829;INFLAMMATION AND INFECTION DETECTION;V09H;Drug Class;0:0:0
PA165291474;INIPARIB;;Drug;0:0:0
PA166182756;INOTERSEN;N07XX15;Drug;0:0:0
PA166177510;INOTUZUMAB OZOGAMICIN;L01FB01;Drug;0:0:0
PA164712831;INSECTICIDES AND REPELLENTS;P03B;Drug Class;0:0:0
PA164784029;INSULIN-ASPART;A10AB05, A10AD05;Drug;0:0:0
PA164746470;INSULIN-DETEMIR;A10AE05;Drug;0:0:0
PA449992;INSULIN GLARGINE;A10AE04;Drug;0:0:0
