FLUORURO SODICO;SODIUM FLUORIDE
TIANFENICOL+MUCOLITICO/EXPECTORANTE; THIAMPHENICOL+MUCOLYTIC/EXPECTORANT
DIFENHIDRAMINA; Diphenhydramine
CLEMASTINA; CLEMASTINE
CARBINOXAMINA; CARBINOXAMINE
DOXILAMINA; DOXYLAMINE
DIFENHIDRAMINA EN ASOCIACION; Diphenhydramine in association
CARBINOXAMINA EN ASOCIACION; CARBINOXAMINE IN ASSOCIATION
DOXILAMINA EN ASOCIACION; DOXYLAMINE IN ASSOCIATION
AMINOALQUIL-ETERES (ANTIHISTAMINICOS) NE; AMINOALKYL-ETHERS (ANTIHISTAMINES) NE
DEXCLORFENIRAMINA; Dexchlorpheniramine
DIMETINDENO;Dimethindene
CLORFENAMINA; Chlorphenamine
MEPIRAMINA; MEPYRAMINE
ALIMEMAZINA; ALIMEMAZINE
PROMETAZINA; PROMETHAZINE
TIETILPERAZINA; Thiethylperazine
MEQUITAZINA; Mequitazine
ALIMEMAZINA EN ASOCIACION; ALIMEMAZINA IN ASSOCIATION
PROMETAZINA EN ASOCIACION; PROMETAZINE IN ASSOCIATION
MECLOZINA; MECLOZINE
OXATOMIDA; OXATOMID
CETIRIZINA; CETIRIZINE
LEVOCETIRIZINA; LEVOCETIRIZINE
CETIRIZINA EN ASOCIACION; CETIRIZINE IN ASSOCIATION
CLOCINIZINA EN ASOCIACION; CLOCINIZINE IN ASSOCIATION
DERIVADOS PIPERAZINICOS (ANTIHISTAMINICOS) NE; PIPERAZINE DERIVATIVES (ANTIHISTAMINES) NE
CIPROHEPTADINA; CYPROHEPTADINE
TRIPROLIDINA; Triprolidine
AZATADINA; AZATADINE
ASTEMIZOL; Astemizole
TERFENADINA; TERFENADINE
LORATADINA; LORATADINE
KETOTIFENO; Ketotifen
AZELASTINA; AZELASTINE
EBASTINA; EBASTINA
MIZOLASTINA; MIZOLASTINE
FEXOFENADINA; FEXOFENADINE
DESLORATADINA; DESLORATADINE
RUPATADINA; RUPATADINE
BILASTINA; BILASTINE
CLEMIZOL; CLEMIZOL
OTROS ANTIHISTAMINICOS DE USO SISTEMICO NE; OTHER ANTIHISTAMINES FOR SYSTEMIC USE NE
COLFOSCERILO PALMITATO; Colfosceryl Palmitate
FOSFOLIPIDOS NATURALES; NATURAL PHOSPHOLIPIDS
SURFACTANTE PULMONAR BOVINO; BOVINE PULMONARY SURFACTANT
SURFACTANTE PULMONAR PORCINO; PORCINE PULMONARY SURFACTANT
DOXAPRAM; DOXAPRAM
NIQUETAMIDA; Nicketamide
BEMEGRIDA; BEMEGRIDA
ALMITRINA; ALMITRINE
OXIDO NITRICO; NITRIC OXIDE
IVACAFTOR; IVACAFTOR
IVACAFTOR Y LUMACAFTOR; IVACAFTOR AND LUMACAFTOR
IVACAFTOR Y TEZACAFTOR; IVACAFTOR AND TEZACAFTOR
PALMIDROL; PALMIDROL
OTROS PRODUCT.DE ACCION SOBRE APARATO RESPIRATORIO NE; OTHER PRODUCTS THAT ACTION ON THE RESPIRATORY SYSTEM NE
CLORAMFENICOL; Chloramphenicol
CLORTETRACICLINA; Chlortetracycline
NEOMICINA; NEOMYCIN
OXITETRACICLINA; Oxytetracycline
NATAMICINA; NATAMYCIN
GENTAMICINA; GENTAMICIN
TOBRAMICINA; Tobramycin
FUSIDICO ACIDO; FUSIDICUI ACID
BENCILPENICILINA; Benzylpenicillin
DIHIDROESTREPTOMICINA; DIHYDROSTREPTOMYCIN
RIFAMICINA; Rifamycin
ERITROMICINA; ERYTHROMYCIN
POLIMIXINA B; POLYMYXIN B
ANTIBIOTICOS ASOC.A OTRAS SUSTANCIAS;ANTIBIOTICS ASSOCIATED WITH OTHER SUBSTANCES
KANAMICINA; KANAMYCIN
AZITROMICINA; AZITHROMYCIN
CEFUROXIMA; CEFUROXIME
ANTIBIOTICOS EN ASOCIACION; ANTIBIOTICS IN ASSOCIATION
VANCOMICINA; VANCOMYCIN
ANFOTERICINA B; AMPHOTERICIN B
ANTIBIOTICOS (OFTALMICOS) NE; ANTIBIOTICS (OPHTHALMICS) NE
SULFACETAMIDA; SULFACETAMIDE
TRIFLURIDINA; TRIFLURIDINE
ACICLOVIR; Acyclovir
FOMIVIRSEN; FOMIVIRSEN
GANCICLOVIR; GANCICLOVIR
OFLOXACINO; OFLOXACIN
NORFLOXACINO; NORFLOXACIN
CIPROFLOXACINO; CIPROFLOXACIN
LOMEFLOXACINO; LOMEFLOXACIN
MOXIFLOXACINO; MOXIFLOXACIN
COMPUESTOS DE MERCURIO; MERCURY COMPOUNDS
COMPUESTOS DE PLATA; SILVER COMPOUNDS
ZINC COMPUESTOS; ZINC COMPOUNDS
SODIO TETRABORATO; SODIUM TETRABORATE
OFLOXACINA; OFLOXACIN
NORFLOXACINA; NORFLOXACIN
CIPROFLOXACINA; CIPROFLOXACIN
PROPAMIDINA; PROPAMIDINE
LOMEFLOXACINO; LOMEFLOXACIN
POVIDONA IODADA; POVIDONE IODINE
POVIDONA; POVIDONE
GATIFLOXACINO; Gatifloxacin
MOXIFLOXACINO; MOXIFLOXACIN
BESIFLOXACINO; BESIFLOXACIN
DEXAMETASONA; Dexamethasone
HIDROCORTISONA; HYDROCORTISONE
CORTISONA; CORTISONE
PREDNISOLONA; PREDNISOLONE
TRIAMCINOLONA; TRIAMCINOLONE
BETAMETASONA; BETAMETHASONE
FLUOROMETOLONA; FLUOROMETHOLONE
MEDRISONA; MEDRISONA
CLOBETASONA; CLOBETASONE
RIMEXOLONA; Rimexolone
LOTEPREDNOL; LOTEPREDNOL
FLUOCINOLONA ACETÃ¯Â¿Â½NIDO; FLUOCINOLONE ACETINIDE
HIDROCORTISONA+PREDNISONA; Hydrocortisone + Prednisone
CORTICOSTEROIDES SOLOS (OFTALMICOS) NE; CORTICOSTEROIDS ALONE (OPHTHALMICS) NE
HIDROCORTISONA ASOC. A MIDRIATICO; HYDROCORTISONE ASSOCIATED WITH MYDRIATIC
PREDNISOLONA ASOC. A MIDRIATICO; PREDNISOLONE ASSOCIATED WITH MYDRATIC
FLUOROMETOLONA ASOC. A MIDRIATICO; FLUOROMETHOLONE ASSOCIATED WITH MYDRIATIC
DEXAMETASONA ASOC. A MIDRIATICO; DEXAMETHASONE ASSOCIATED WITH MYDRATIC
MEDROXIPROGESTERONA ASOC. A MIDRIATICO; MEDROXIPROGESTERONE ASSOCIATED WITH MYDRIATIC
INDOMETACINA; Indomethacin
DICLOFENACO; Diclofenac
FLURBIPROFENO; FLURBIPROFEN
KETOROLAC; Ketorolac
PRANOPROFENO; Pranoprofen
NEPAFENAC; NEPAFENAC
BROMFENACO; BROMFENAC
OTRAS ASOCIACIONES DE DEXAMETASONA; OTHER ASSOCIATIONS OF DEXAMETHASONE
DEXAMETASONA ASOC. A ANTIINFECCIOSOS; Dexamethasone in association with anti-infectives
PREDNISOLONA ASOC.A ANTIINFECCIOSOS; PREDNISOLONE ASSOCIATED WITH ANTIINFECTIOUS DRUGS
HIDROCORTISONA ASOC. A ANTIINFECCIOSOS; Hydrocortisone in association with anti-infectives
BETAMETASONA ASOC. A ANTIINFECCIOSOS; BETAMETHASONE ASSOCIATED WITH ANTIINFECTIOUS DRUGS
FLUDROCORTISONA ASOC. A ANTIINFECCIOSOS;Fludrocortisone in association with anti-infectives
FLUOROMETOLONA ASOC. A ANTIINFECCIOSOS; FLUOROMETHOLONE ASSOCIATED WITH ANTIINFECTIOUS DRUGS
FLUOCINOLONA ASOC. A ANTIINFECCIOSOS; FLUOCINOLONE ASSOCIATED WITH ANTIINFECTIOUS DRUGS
CORTISONA ASOC. A ANTIINFECCIOSOS; CORTISONE ASSOCIATED WITH ANTIINFECTIOUS DRUGS
MEDRISONA ASOC. A ANTIINFECCIOSOS; MEDRISONE ASSOCIATED WITH ANTIINFECTIOUS DRUGS
MEDROXIPROGESTERONA ASOC. A ANTIINFECCIOSOS; MEDROXIPROGESTERONE ASSOCIATED WITH ANTIINFECTIOUS DRUGS
PREDNISONA ASOC. A ANTIINFECCIOSOS; PREDNISONE ASSOCIATED WITH ANTIINFECTIOUS DRUGS
CORTICOSTEROIDES ASOC. A ANTIINFECCIOSOS (OFTALM) NE; CORTICOSTEROIDS ASSOCIATED WITH ANTIINFECTIVES (OPHTHALM) NE
HIDROCORTISONA; HYDROCORTISONE
MEDROXIPROGESTERONA ASOC. A ANTIINFECCIOSOS Y MIDRIATICOS; Medroxyprogesterone in association with anti-infectives and mydriatics
DICLOFENACO ASOC. A ANTIINFECCIOSOS; DICLOFENAC ASSOCIATED WITH ANTIINFECTIOUS DRUGS
EPINEFRINA; EPINEPHRINE
DIPIVEFRINA; Dipivephrine
APRACLONIDINA; APRACLONIDINE
CLONIDINA; CLONIDINE
BRIMONIDINA; BRIMONIDINE
EPINEFRINA EN ASOCIACION; EPINEPHRINE IN ASSOCIATION
PILOCARPINA; PILOCARPINE
ACECLIDINA; ACECLIDINE
ACETILCOLINA; ACETYLCHOLINE
PILOCARPINA EN ASOCIACION; PILOCARPINE IN ASSOCIATION
ACETAZOLAMIDA; ACETAZOLAMIDE
DICLOFENAMIDA; Diclofenamide
DORZOLAMIDA; DORZOLAMIDE
BRINZOLAMIDA; BRINZOLAMIDE
METAZOLAMIDA; METAZOLAMIDE
BRINZOLAMIDA, COMBINACIONES; BRINZOLAMIDE, COMBINATIONS
TIMOLOL; TIMOLOL
BETAXOLOL; BETAXOLOL
LEVOBUNOLOL; LEVOBUNOLOL
METIPRANOLOL; METIPRANOLOL
CARTEOLOL; CARTEOLOL
TIMOLOL EN ASOCIACION; TIMOLOL IN ASSOCIATION
LATANOPROST; LATANOPROST
UNOPROSTONA; UNOPROSTON
BIMATOPROST; BIMATOPROST
TRAVOPROST; TRAVOPROST
TAFLUPROST; TAFLUPROST
GLICEROL; GLYCEROL
ATROPINA; ATROPINE
ESCOPOLAMINA; SCOPOLAMINE
CICLOPENTOLATO; CYCLOPENTOLATE
HOMATROPINA; HOMATROPINE
TROPICAMIDA; TROPICAMIDE
ATROPINA EN ASOCIACION; ATROPINE IN ASSOCIATION
TROPICAMIDA EN ASOCIACION; TROPICAMIDE IN ASSOCIATION
FENILEFRINA; Phenylephrine
FENILEFRINA EN ASOCIACION; PHENYLEPHRINE IN ASSOCIATION
NAFAZOLINA; Naphazoline
TETRIZOLINA;TETRIZOLINE
OXIMETAZOLINA; OXYMETAZOLINE
FENILEFRINA; Phenylephrine
NAFAZOLINA EN ASOCIACION; NAPHAZOLINE IN ASSOCIATION
TETRIZOLINA EN ASOCIACION; TETRIZOLINE IN ASSOCIATION
FENILEFRINA EN ASOCIACION; PHENYLEPHRINE IN ASSOCIATION
CROMOGLICICO ACIDO; Cromoglycic Acid
LEVOCABASTINA; LEVOCABASTINA
ESPAGLUMICO ACIDO; Spaglumic Acid
NEDOCROMILO; NEDOCROMIL
LODOXAMIDA; LODOXAMIDE
EMEDASTINA; EMEDASTINE
AZELASTINA; AZELASTINE
KETOTIFENO; Ketotifen
OLOPATADINA; OLOPATADINE
EPINASTINA; EPINASTIN
CROMOGLICICO ACIDO EN ASOCIACION; Cromoglycic Acid in Association
CLORFENAMINA; Chlorphenamine
OXIBUPROCAINA; OXYBUPROCAINE
TETRACAINA; TETRACAINE
PROCAINA; PROCAINE
ANESTESICOS LOCALES EN ASOCIACION; LOCAL ANESTHETICS IN ASSOCIATION
FLUORESCEINA; FLUORESCEIN
FLUORESCEINA EN ASOCIACION; FLUORESCEIN IN ASSOCIATION
AZUL PATENTE; PATENT BLUE
HIALURONICO ACIDO; HYALURONIC ACID
HIPROMELOSA; HYPROMELLOSE
HIALURONICO ACIDO EN ASOCIACION; HYALURONIC ACID IN ASSOCIATION
CARMELOSA (CARBOXIMETILCELULOSA); CARMELLOSE (CARBOXYMETHYLCELLULOSE)
SOLUCION SALINA PARA CIRUGIA OCULAR; SALINE SOLUTION FOR EYE SURGERY
QUIMOTRIPSINA; CHYMOTRYPSIN
VERTEPORFIN; FINALLY SEE YOU
ANECORTAVE; ANECORTAVE
PEGAPTANIB; PEGAPTANIB
RANIBIZUMAB; RANIBIZUMAB
AFLIBERCEPT; AFLIBERCEPT
RETINOL; RETINOL
SODIO CLORURO HIPERTONICO; HYPERTONIC SODIUM CHLORIDE
EDETATO DISODICO; Disodium EDTA
NANDROLONA; NANDROLONE
ALTEPLASA; ALTEPLASE
HEPARINA SODICA; SODIUM HEPARIN
CICLOSPORINA; CYCLOSPORINE
CELULAS MADRE LIMBARES, AUTOLOGAS; Autologous limb stem cells
LAGRIMAS ARTIFICIALES Y OTROS PREPARADOS INDIFERENTES; ARTIFICIAL TEARS AND OTHER INDIFFERENT PREPARATIONS
MERCAPTAMINA; Mercaptamine
OCRIPLASMINA; Ocryplasmin
CENEGERMINA; CENEGERMINA
RETINOL EN ASOCIACION; RETINOL IN ASSOCIATION
SODIO CLORURO HIPERTONICO EN ASOCIACION; HYPERTONIC SODIUM CHLORIDE IN ASSOCIATION
POTASIO IODURO EN ASOCIACION; POTASSIUM IODIDE IN ASSOCIATION
MITOMICINA; Mitomycin
CIANOCOBALAMINA; CYANOCOBALAMIN
KERACIANINA; KERACYANIN
CICLOSPORINA; CYCLOSPORINE
BORICO ACIDO EN ASOCIACION; BORIC ACID IN ASSOCIATION
PIRENOXINA; PIRENOXINE
CENTELLA ASIATICA EXTO; CENTELLA ASIATICA EXTRACT
ELEDOISINA; ELEDOISINE
LANOLINA; LANOLIN
CROMOCARBO; Chromocarbo
VASELINA OFTALMICA; OPHTHALMIC VASELINE
METILHIDROXIQUINOLINIO; METHYLHYDROXYQUINOLINIUM
ADENOSINA EN ASOCIACION; ADENOSINE IN ASSOCIATION
OTROS OFTALMOLOGICOS NE; OTHER OPHTHALMOLOGICAL NE
CLORAMFENICOL; Chloramphenicol
CLIOQUINOL; CLIOQUINOL
NEOMICINA; NEOMYCIN
TETRACICLINA; TETRACYCLINE
POLIMIXINA B; POLYMYXIN B
GENTAMICINA; GENTAMICIN
CIPROFLOXACINA; CIPROFLOXACIN
OFLOXACINA; OFLOXACIN
ANTIINFECCIOSOS EN ASOCIACION;ANTIINFECTIOUS DRUGS IN ASSOCIATION
HIDROCORTISONA; HYDROCORTISONE
PREDNISOLONA; PREDNISOLONE
DEXAMETASONA; Dexamethasone
BETAMETASONA; BETAMETHASONE
FLUOCINOLONA ACETONIDO; FLUOCINOLONE ACETONIDE
PREDNISOLONA ASOC. A ANTIINFECCIOSOS; PREDNISOLONE ASSOCIATED WITH ANTIINFECTIOUS DRUGS
HIDROCORTISONA ASOC. A ANTIINFECCIOSOS; Hydrocortisone in association with anti-infectives
TRIAMCINOLONA ASOC. A ANTIINFECCIOSOS; TRIAMCINOLONE ASSOCIATED WITH ANTIINFECTIOUS DRUGS
FLUOCINOLONA ASOC. A ANTIINFECCIOSOS; FLUOCINOLONE ASSOCIATED WITH ANTIINFECTIOUS DRUGS
DEXAMETASONA ASOC. A ANTIINFECCIOSOS; Dexamethasone in association with anti-infectives
FLUDROCORTISONA ASOC. A ANTIINFECCIOSOS;Fludrocortisone in association with anti-infectives
BECLOMETASONA ASOC. A ANTIINFECCIOSOS; BECLOMETHASONE ASSOCIATED WITH ANTIINFECTIOUS DRUGS
CORTICOSTEROIDES Y ANTIINFECCIOSOS EN ASOCIACION (OTOLOGIC.) NE; CORTICOSTEROIDS AND ANTIINFECTIOUS DRUGS IN ASSOCIATION (OTOLOGIC.) NE
FENAZONA; PHENAZONE
ANALGESICOS Y ANESTESICOS EN ASOCIACION; ANALGESICS AND ANESTHETICS IN ASSOCIATION
FENOL; PHENOL
LAURILSULFATO SODICO; SODIUM LAURYLSULFATE
PREPARADOS INDIFERENTES; INDIFFERENT PREPARATIONS
PREPARADOS INDIFERENTES NE; INDIFFERENT PREPARATIONS NE
POLIMIXINA B; POLYMYXIN B
CIPROFLOXACINA; CIPROFLOXACIN
CLORAMFENICOL; Chloramphenicol
ANTIINFECCIOSOS EN ASOCIACION;ANTIINFECTIOUS DRUGS IN ASSOCIATION
DEXAMETASONA ASOC. A ANTIINFECCIOSOS; Dexamethasone in association with anti-infectives
HIDROCORTISONA ASOC. A ANTIINFECCIOSOS; Hydrocortisone in association with anti-infectives
BETAMETASONA ASOC. A ANTIINFECCIOSOS; BETAMETHASONE ASSOCIATED WITH ANTIINFECTIOUS DRUGS
EXTRACTO DE POLEN DE HERBACEAS; HERBACEOUS POLLEN EXTRACT
ACAROS DEL POLVO AMBIENTAL; ENVIRONMENTAL DUST MITES
INSECTOS; INSECTS
EXTRACTOS DE ALERGENOS; ALLERGEN EXTRACTS
IPECACUANA; IPECACUANHA
EDETATOS; EDITED DETAILS
PRALIDOXIMA; PRALIDOXIME
TIOSULFATO (SODICO); THIOSULFATE (SODIUM)
APOMORFINA; APOMORPHYN
DIMERCAPROL; DIMERCAPROL
PROTAMINA; PROTAMINE
NALOXONA; NALOXONE
ALCOHOL ABSOLUTO; ABSOLUTE ALCOHOL
CLORURO DE METILTIONINIO; METHYLTHIONINIUM CHLORIDE
FISOSTIGMINA; PHYSOSTIGMINE
NITRITO DE AMILO; AMYL NITRITE
ACETILCISTEINA; ACETYLCYSTEINE
ANTITOXINA DIGITALIS; Digitalis Antitoxin
FLUMAZENILO; FLUMAZENIL
HIDROXOCOBALAMINA; HYDROXOCOBALAMIN
SUGAMMADEX; SUGAMMADEX
FENTOLAMINA; Phentolamine
IDARUCIZUMAB; IDARUCIZUMAB
TRIENTINA; Trientine
ANTIDOTO ANCROD; ANCROD ANTIDOTE
ANTIDOTOS NE; ANTIDOTES NE
DEFEROXAMINA; Deferoxamine
DEFERIPRONA; DEFERIPRONE
DEFERASIROX; DEFERASIROX
POLIESTIRENO SULFONATO; POLYSTYRENE SULFONATE
SEVELAMER; SEVELAMER
LANTANO CARBONATO; Lanthanum carbonate
CALCIO ACETATO+MAGNESIO CARBONATO; CALCIUM ACETATE+MAGNESIUM CARBONATE
OXIHIDROXIDO SUCROFERRICO;SUCROPHERIC OXYHYDROXIDE
CALCIO ACETATO; CALCIUM ACETATE
PATIROMERO CALCICO; PATIROMERO CALCIUM
CICLOSILICATO DE SODIO Y ZIRCONIO; SODIUM ZIRCONIUM CYCLOSILICATE
CALCIO ACETATO; CALCIUM ACETATE
MEDICAMENTOS TRATAMIENTO DE LA HIPERKALEMIA NE; MEDICINES TREATMENT OF HYPERKALEMIA NE
MESNA; MESNA
DEXRAZOXANO; DEXRAZOXANE
FOLINATO CALCICO; Calcium folinate
LEVOFOLINATO CALCICO; Calcium Levofolinate
AMIFOSTINA; AMIFOSTINE
FOLINATO SODICO; SODIUM FOLINATE
RASBURICASA; RASBURICASA
PALIFERMIN; PALIFERMIN
GLUCARPIDASA; GLUCARPIDASE
LEVOFOLINATO SODICO; SODIUM LEVOFOLINATE
CELULOSA FOSFATO SODICO; CELLULOSE SODIUM PHOSPHATE
OXIGENO; OXYGEN
DIOXIDO DE CARBONO; CARBON DIOXIDE
HELIO; HELIUM
NITROGENO; NITROGEN
AIRE MEDICINAL; MEDICINAL AIR
GASES MEDICINALES NE; MEDICAL GASES NE
NALFURAFINA; NALFURAFINE
COBICISTAT; COBICISTAT
TRIENTINA; Trientine
SILIMARINA; SILYMARIN
ADEMETIONINA; ADEMETIONINE
DIMETIL SULFOXIDO; DIMETHYL SULFOXIDE
OTROS PRODUCTOS TERAPEUTICOS NE; OTHER THERAPEUTIC PRODUCTS NE
GLUCOSA (TEST DIABETES); GLUCOSE (DIABETES TEST)
METIRAPONA; METHYRAPONE
CORTICORELINA; CORTICORELIN
SOMATORELINA; SOMATORELIN
YEMA DE HUEVO+GLICEROL; EGG YOLK+GLYCEROL
ACEITE VEGETAL EMULSION; VEGETABLE OIL EMULSION
TUBERCULINA; TUBERCULIN
HISTAMINA FOSFATO; HISTAMINE PHOSPHATE
PENTAGASTRINA; PENTAGASTRIN
C-UREA (TEST HELICOBACTER); C-UREA (HELICOBACTER TEST)
INULINA Y OTROS POLIFRUCTOSANOS; INULIN AND OTHER POLYFRUCTOSANS
INDIGO CARMIN; INDIGO CARMIN
TIROTROPINA; THYROTROPIN
PROTIRELINA; PROTIRELIN
POTASIO PERCLORATO; Potassium perchlorate
SECRETINA; SECRETINA
FLUORESCEINA; FLUORESCEIN
TESTS DE LA SECRECION PANCREATICA NE; NE PANCREAT SECRETION TESTS
PRUEBAS PARA ENFERMEDADES ALERGICAS NE;TESTS FOR ALLERGIC DISEASES NE
OTROS AGENTES DE DIAGNOSTICO NE NE; OTHER DIAGNOSTIC AGENTS NE NE
VERDE DE INDOCIANINA; INDOCYANINE GREEN
MANITOL; MANNITOL
13C-UREA; 13C-UREA
HEXAMINOLEVULINATEÃ¯Â¿Â½; HEXAMINOLEVULINATE
AZUL TRIPTAN; TRIPTAN BLUE
AZUL PATENTE; PATENT BLUE
METACOLINA; METHACHOLINE
VERDE DE INDOCIANINA; INDOCYANINE GREEN
LITIO CLORURO; LITHIUM CHLORIDE
HEXAMINOLEVULINICO ACIDO; HEXAMINOLEVULINIC ACID
MANITOL; MANNITOL
AZUL DE METILENO; METHYLENE BLUE
TEST ROTURA MEMBRANAS FETALES; FETAL MEMBRANE RUPTURE TEST
TEST EMBARAZO; PREGNANCY TEST
OTROS AGENTES DIAGNOSTICOS NE; OTHER DIAGNOSTIC AGENTS NE
DIETAS DE BAJA ENERGIA NE; LOW ENERGY DIETS NE
GRASAS,CARBOHIDRATOS,PROTEINAS,MINERALES Y VITAMINAS EN ASOC; FATS, CARBOHYDRATES, PROTEINS, MINERALS AND VITAMINS IN ASSOCIATION
GLUCOSA; GLUCOSE
FRUCTOSA; FRUCTOSE
GLUCOSA CON MINERALES; GLUCOSE WITH MINERALS
ALIMENTOS A BASE DE PLANTAS Y SUS EXTRACTOS; PLANT-BASED FOODS AND THEIR EXTRACTS
BIBERON MONODOSIS PARA PREMATUROS; SINGLE-DOSE BOTTLE FOR PREMATURE BABIES
BIBERON MONODOSIS; SINGLE-DOSE BOTTLE
SUPLEMENTOS NUTRICIONALES; NUTRITIONAL SUPPLEMENTS
FORMULA PREMATUROS Y RECIEN NACIDOS CON BAJO PESO; FORMULA FOR PREMATURE AND LOW-WEIGHT NEWBORNS
LECHE MATERNIZADA DE INICIO; STARTER FORMULA MILK
LECHE MATERNIZADA DE CONTINUACION; FOLLOW-ON FORMULA MILK
COMPLEMENTO DIETA HIPOCALORICA; HYPOCALORIE DIET SUPPLEMENT
FIBRA ALIMENTARIA; DIETARY FIBER
ACEITES VEGETALES Y DE PESCADO; VEGETABLE AND FISH OILS
OTROS DIETETICOS NO CLASIFICADOS; OTHER UNCLASSIFIED DIETARY
HARINAS INFANTILES LACTEADAS; INFANT LACTY FLOURS
HARINAS INFANTILES NO LACTEADAS; NON-DAIRY INFANT FLOURS
POTITOS Y PURES INFANTILES DE FRUTAS; Baby fruit jars and purees
POTITOS Y PURES INFANTILES DE CARNE Y OTROS; Baby food and purees made with meat and other foods
DIETA NUTRISERVICE;NUTRISERVICE DIET
LCP (ACIDOS GRASOS POLIINSATURADOS); LCP (POLYUNSATURATED FATTY ACIDS)
FORMULA CON CONTENIDO GRASO EN FORMA DE TRIGLICERIDOS MCT; FORMULA WITH FAT CONTENT IN THE FORM OF MCT TRIGLYCERIDES
FORMULA EXENTAS DE LIPIDOS; LIPID-FREE FORMULA
FORMULA EXENTA DE LISINA; LYSINE-FREE FORMULA
FORMULA DE AMINOACIDOS ESENCIALES; ESSENTIAL AMINO ACID FORMULA
FORMULA EXENTA DE LISINA Y BAJO CONTENIDO EN TRIPTOFANO; LYSINE-FREE AND LOW TRYPTOPHAN FORMULA
FORMULA EXENTA DE ISOLEUCINA; ISOLEUCINE-FREE FORMULA
FORMULA EXENTA DE ISOLEUCINA, METIONINA, TREONINA Y VALINA; FORMULA FREE OF ISOLEUCINE, METHIONINE, THREONINE AND VALINE
FORMULA EXENTA DE LEUCINA; LEUCINE-FREE FORMULA
FORMULA EXENTA DE ISOLEUCINA, LEUCINA Y VALINA; FORMULA FREE OF ISOLEUCINE, LEUCINE AND VALINE
FORMULA EXENTA DE METIONINA Y RICA EN TAURINA; FORMULA FREE OF METHIONINE AND RICH IN TAURINE
FORMULA EXENTA DE ISOLEUCINA, METIONINA Y VALINA; FORMULA FREE OF ISOLEUCINE, METHIONINE AND VALINE
FORMULA EXENTA METIONINA,TREONINA,VALINA, BAJO CONT. ISOLEUC;EXEMPT FORMULA METHIONINE,THREONINE,VALINE, UNDER CONT. ISOLEUC
FORMULA EXENTA DE METIONINA; METHIONINE-FREE FORMULA
FORMULA LIMITADA EN FENILALANINA; LIMITED FORMULA IN PHENYLALANINE
FORMULA EXENTA DE FENILALANINA; PHENYLALANINE FREE FORMULA
FORMULA EXENTA DE FENILALANINA Y TIROSINA; FORMULA FREE OF PHENYLALANINE AND TYROSINE
FORMULA EXENTA DE HISTIDINA; HISTIDINE-FREE FORMULA
FORMULA EXENTA DE ARGININA; ARGININE-FREE FORMULA
FORMULA EXENTA DE PROTEINAS; PROTEIN-FREE FORMULA
FORMULA SIN LACTOSA NI GALACTOSA PARA LACTANTES; LACTOSE AND GALACTOSE FREE FORMULA FOR INFANTS
FORMULA SIN LACTOSA PARA LACTANTES; LACTOSE-FREE INFANT FORMULA
FORMULA CON/SIN FRUCTOSA, SIN GLUCOSA NI GALACT.NI DISACARID; FORMULA WITH/WITHOUT FRUCTOSE, WITHOUT GLUCOSE OR GALACT. OR DISACCHARIDES
FORMULA CON PROTEINAS DE SOJA SIN LACTOSA PARA LACTANTES; LACTOSE-FREE SOY PROTEIN FORMULA FOR INFANTS
FORMULA CON HIDROLIZ.PROTEIN. NO LACTEAS SIN LACTOSA LACTANT; FORMULA WITH HYDROLIZ.PROTEIN. NON-DAIRY LACTOSE-FREE LACTANT
FORMULA CON HIDROLIZ.PROTEINAS LACTEAS SIN LACTOSA LACTANTES; FORMULA WITH HYDROLIZATION OF MILK PROTEINS WITHOUT LACTOSE INFANTS
FORMULA COMPLETA MONOMERICA (CON AA) HIPERPROTEICA; COMPLETE MONOMERIC FORMULA (WITH AA) HYPERPROTEIN
FORMULA COMPLETA MONOMERICA (CON AA) NORMOPROTEICA;COMPLETE MONOMERIC FORMULA (WITH AA) NORMOPROTEIC
FORMULA COMPLETA OLIGOMERICA NORMOPROTEICA (PEPTIDICA); COMPLETE NORMOPROTEIC OLIGOMERIC FORMULA (PEPTIDICAL)
FORMULA COMPLETA OLIGOMERICA HIPERPROTEICA (PEPTIDICA); COMPLETE OLIGOMERIC HYPERPROTEIC (PEPTIDICAL) FORMULA
FORMULA COMPLETA POLIMERICA HIPERPROTEICA NORMOCALORICA; COMPLETE NORMOCALORIC HYPERPROTEIC POLYMERIC FORMULA
FORMULA COMPLETA POLIMERICA HIPERPROTEICA HIPERCALORICA; COMPLETE FORMULA HYPERPROTEIC HYPERCALORIC POLYMERIC
FORMULA COMPLETA POLIMERICA NORMOPROTEICA NORMOCALORICA; COMPLETE NORMOPROTEIC NORMOCALORIC POLYMERIC FORMULA
FORMULA COMPLETA POLIMERICA NORMOPROTEICA HIPOCALORICA; COMPLETE NORMOPROTEIC LOW CALORIE POLYMERIC FORMULA
FORMULA COMPLETA POLIMERICA NORMOPROTEICA HIPERCALORICA; COMPLETE NORMOPROTEIC HYPERCALORIC POLYMERIC FORMULA
FORMULA COMPLETA POLIMERICA NORMOPROTEICA FIBRA; COMPLETE NORMOPROTEIC FIBER POLYMERIC FORMULA
FORMULA COMPLETA POLIMERICA HIPERPROTEICA HIPOCALORICA; COMPLETE FORMULA HYPERPROTEIC POLYMERIC LOW CALORIE
PRODUCTOS DIETETICOS SIN IDENTIFICAR; UNIDENTIFIED DIETARY PRODUCTS
