drug	gene
glipizide	G6PD
rosuvastatin	CETP
rosuvastatin	CRP
rosuvastatin	CYP2D6
rosuvastatin	CYP3A4
rosuvastatin	CYP3A5
rosuvastatin	KIF6
rosuvastatin	COQ2
rosuvastatin	FMO3
rosuvastatin	HMGCR
rosuvastatin	LDLR
rosuvastatin	ABCA1
rosuvastatin	LPA
rosuvastatin	HLA-DRB1
rosuvastatin	ABCG2
phenobarbital	CYP2B6
phenobarbital	MTHFR
phenobarbital	ABCB1
phenobarbital	CYP1A1
phenobarbital	SCN2A
phenobarbital	UGT1A6
phenobarbital	UGT2B15
phenobarbital	NR1I2
phenobarbital	UGT1A9
prochlorperazine	ANKK1
prochlorperazine	DRD2
dasabuvir_/_ombitasvir_/_paritaprevir_/_ritonavir	IFNL3
desmethylnaproxen	NPIPB8
desmethylnaproxen	SULT1A1
latanoprost	PTGS1
latanoprost	PTGFR
latanoprost	ABCC4
chloroprocaine	BCHE
chloroprocaine	CYB5R3
chloroprocaine	G6PD
laropiprant	PTGDR
vitamin_c	G6PD
vitamin_c	TXNRD1
Zosuquidar	ABCB1
dabrafenib	BRAF
dabrafenib	G6PD
dabrafenib	HRAS
dabrafenib	KRAS
dabrafenib	NRAS
dabrafenib	HLA-DRB1
platinum	C18orf56
platinum	KLC3
platinum	ERCC1
platinum	HNF1B
platinum	ERCC2
platinum	ERCC5
platinum	GSTP1
platinum	TYMS
tepotinib	ALK
tepotinib	MET
tepotinib	EGFR
16alpha-hydroxyprogesterone	CYP2C19
XELOX	DPYD
XELOX	TYMS
pregnenolone	SULT2B1
tenofovir_disoproxil_fumarate	ABCC10
tenofovir_disoproxil_fumarate	CYP24A1
tenofovir_disoproxil_fumarate	CYP27B1
tenofovir_disoproxil_fumarate	SLC28A2
tenofovir_disoproxil_fumarate	ABCC4
ataluren	CFTR
calcium	VDR
icotinib	CYP2C19
diazoxide	KCNJ11
gemtuzumab_ozogamicin	CYP2E1
gemtuzumab_ozogamicin	SLCO1B1
gemtuzumab_ozogamicin	CD33
gemtuzumab_ozogamicin	SULT2B1
gemtuzumab_ozogamicin	SLC22A12
sparfloxacin	ABCB1
lamotrigine	ABCB1
lamotrigine	HNF4A
lamotrigine	SCN1A
lamotrigine	SLC22A1
lamotrigine	SCN2A
lamotrigine	HLA-C
lamotrigine	HLA-DQB1
lamotrigine	HLA-DRB1
lamotrigine	UGT2B7
lamotrigine	ABCG2
inavolisib	ESR1
inavolisib	ERBB2
inavolisib	ESR2
inavolisib	PIK3CA
flurbiprofen	CYP2C9
flurbiprofen	UGT2B7
tipiracil_/_trifluridine	ERBB2
tipiracil_/_trifluridine	KRAS
celiprolol	ABCB1
daunorubicin	SLCO1B1
daunorubicin	C18orf56
daunorubicin	DCK
daunorubicin	DROSHA
daunorubicin	LINC00251
daunorubicin	FMO3
daunorubicin	AKR1C3
daunorubicin	AKR1C4
daunorubicin	AKR7A2
daunorubicin	BMP7
daunorubicin	NOS3
daunorubicin	DOK5
daunorubicin	SETD4
daunorubicin	CBR1
daunorubicin	CBR3
daunorubicin	ABCB1
daunorubicin	CPT1A
daunorubicin	GATA3
daunorubicin	GSTP1
daunorubicin	IGHMBP2
daunorubicin	NRP2
daunorubicin	RARG
daunorubicin	TYMS
daunorubicin	UGT1A6
daunorubicin	PNPLA3
daunorubicin	ABCG2
daunorubicin	SLC28A3
daunorubicin	ATP7B
diuretics	KCNE1
diuretics	NOS3
diuretics	ADD1
diuretics	NEDD4L
diuretics	PDE4D
diuretics	ADRB1
diuretics	NELFCD
diuretics	ADRB2
bexarotene	NR1I2
galantamine	CHRNA7
galantamine	CYP2D6
galantamine	CHAT
l-arginine	NOS3
clavulanate	HLA-A
clavulanate	HLA-B
clavulanate	HLA-C
clavulanate	HLA-DQB1
clavulanate	HLA-DRB1
clavulanate	HLA-DRB5
midazolam	CYP2B6
midazolam	CYP3A4
midazolam	ABCB1
midazolam	POR
midazolam	UGT1A4
midazolam	VDR
topotecan	ABCB1
topotecan	DDO
topotecan	ABCG2
resmetirom	ABCG2
disopyramide	CYP2D6
disopyramide	KCNH2
disopyramide	SCN5A
metformin	SLC29A4
metformin	C11orf65
metformin	SLC47A1
metformin	SLC47A2
metformin	KCNJ11
metformin	AMHR2
metformin	CAPN10
metformin	CSMD1
metformin	PPARA
metformin	FMO5
metformin	NBEA
metformin	SLC22A3
metformin	SLC22A2
metformin	PRKAA1
metformin	PRKAA2
metformin	PRKAB1
metformin	PRKAB2
metformin	PRKAG1
metformin	PRKAG2
metformin	PRKAG3
metformin	PRPF31
metformin	SLC2A2
metformin	SP1
metformin	NR1I2
metformin	SLC19A3
metformin	CPA6
metformin	ATM
abiraterone	DSE
abiraterone	CYP17A1
abiraterone	SRD5A2
abiraterone	TSPYL1
menotropins	FSHR
sibutramine	CYP3A5
sibutramine	GNB3
hydroxychloroquine	C18orf56
hydroxychloroquine	MTR
hydroxychloroquine	TYMS
toluidine_blue	G6PD
flecainide	CYP3A5
flecainide	SCN5A
infliximab	IL6
infliximab	ATP5F1E
infliximab	FCGR2A
infliximab	FCGR3A
infliximab	IL1B
infliximab	KLRC1
infliximab	KLRD1
infliximab	PTPRC
infliximab	HLA-B
infliximab	HLA-C
infliximab	HLA-DPB1
infliximab	HLA-DQB1
infliximab	HLA-DRB1
infliximab	HLA-E
infliximab	TNFRSF1A
infliximab	TNFRSF1B
infliximab	TRAF1
infliximab	TNF
desvenlafaxine	CYP2D6
desvenlafaxine	HTR2A
desvenlafaxine	UGT1A1
aprepitant	UGT2B7
gliquidone	CYP2C9
estrone_sulfate	SLCO1B1
zidovudine_/_lamivudine_/_abacavir	HLA-B
demeclocycline	NR1I2
dexamethasone	CRISPLD2
dexamethasone	LINC00251
dexamethasone	BMP7
dexamethasone	DOK5
dexamethasone	SERPINE1
dexamethasone	ABCB1
dexamethasone	CTLA4
dexamethasone	CTNNB1
dexamethasone	PTGDR
dexamethasone	GATA3
dexamethasone	PYGL
dexamethasone	VDR
dexamethasone	NR1I2
dexamethasone	UGT1A1
acetaminophen	CYP2A6
acetaminophen	CYP2D6
acetaminophen	CYP2E1
acetaminophen	SULT1A4
acetaminophen	NPIPB8
acetaminophen	CYP1A2
acetaminophen	PLA2G4A
acetaminophen	OPRM1
acetaminophen	PLCG1
acetaminophen	SULT1E1
acetaminophen	SULT1A1
acetaminophen	SULT1A3
acetaminophen	SULT2A1
acetaminophen	HLA-DQB1
acetaminophen	TNFRSF11A
acetaminophen	UGT1A
acetaminophen	UGT1A6
acetaminophen	UGT2B15
acetaminophen	TRPV1
acetaminophen	UGT1A9
doxorubicin	ABCC2
doxorubicin	CYP2B6
doxorubicin	CYP2C19
doxorubicin	CYP3A4
doxorubicin	SLCO1B1
doxorubicin	TMEM43
doxorubicin	SLC22A16
doxorubicin	POLR1G
doxorubicin	ERCC1
doxorubicin	LINC00251
doxorubicin	GSTM1
doxorubicin	ABCC1
doxorubicin	MTHFR
doxorubicin	AKR1C3
doxorubicin	AKR7A2
doxorubicin	ALDH1A1
doxorubicin	ALDH3A1
doxorubicin	BMP7
doxorubicin	NOS3
doxorubicin	DOK5
doxorubicin	SETD4
doxorubicin	CBR1
doxorubicin	CBR3
doxorubicin	CLCN6
doxorubicin	ABCB1
doxorubicin	CPT1A
doxorubicin	CYBA
doxorubicin	CYP1B1
doxorubicin	ERCC2
doxorubicin	G6PD
doxorubicin	GATA3
doxorubicin	GSTA1
doxorubicin	GSTP1
doxorubicin	IGHMBP2
doxorubicin	MTHFD1
doxorubicin	NCF4
doxorubicin	NQO1
doxorubicin	NQO2
doxorubicin	RAC2
doxorubicin	PPP1R13L
doxorubicin	RARG
doxorubicin	XRCC1
doxorubicin	UGT1A6
doxorubicin	XPC
doxorubicin	ABCC3
doxorubicin	NR1I2
doxorubicin	ABCG2
doxorubicin	ABCC4
doxorubicin	SLC28A3
doxorubicin	ATM
doxorubicin	CCND1
spironolactone	NOS3
spironolactone	ABCB1
spironolactone	CYP4A11
spironolactone	ADD1
spironolactone	NR1I2
spironolactone	ADRB1
spironolactone	ADRB2
dalcetrapib	ADCY9
o-desmethyltramadol	CYP2D6
o-desmethyltramadol	RFPL4B
o-desmethyltramadol	RGL4
o-desmethyltramadol	ICA1
o-desmethyltramadol	SLC22A1
o-desmethyltramadol	SULT1A3
o-desmethyltramadol	HCN1
triglycerides	CYP19A1
bromazepam	CYP2D6
bromazepam	CYP1A2
flucytosine	DPYD
Bisphosphonates	CYP2C8
Bisphosphonates	TBC1D32
Bisphosphonates	MEX3C
Bisphosphonates	CSRNP3
Bisphosphonates	ALDH1A2
Bisphosphonates	FDPS
Bisphosphonates	IL1B
Bisphosphonates	RBMS3
Bisphosphonates	SFRP5
Bisphosphonates	KCNT2
Bisphosphonates	ABCC4
heparin	IL1RN
heparin	HLA-DRB3
ketoconazole	CYP3A4
ketoconazole	CYP3A5
ketoconazole	ABCB1
ketoconazole	CYP4F2
zileuton	PRORP
zileuton	ALOX5
Antithyroid_Preparations	EHMT2
Antithyroid_Preparations	FOXF2
Antithyroid_Preparations	HLA-B
Antithyroid_Preparations	HLA-DQA1
Antithyroid_Preparations	HLA-DQB1
Antithyroid_Preparations	HLA-DRB1
labetalol	CYP2C19
labetalol	GRK5
labetalol	GRK4
labetalol	ADRA2C
labetalol	ADRB1
labetalol	ADRB2
labetalol	UGT1A1
sodium_benzoate_/_sodium_phenylacetate	NAGS
sodium_benzoate_/_sodium_phenylacetate	ASS1
sodium_benzoate_/_sodium_phenylacetate	ARG1
sodium_benzoate_/_sodium_phenylacetate	ASL
sodium_benzoate_/_sodium_phenylacetate	CPS1
sodium_benzoate_/_sodium_phenylacetate	OTC
fluoxetine	SLCO1B1
fluoxetine	REEP5
fluoxetine	ACE
fluoxetine	HTR1A
fluoxetine	KCNH2
fluoxetine	SERPINE1
fluoxetine	ABCB1
fluoxetine	CRHR1
fluoxetine	FKBP5
fluoxetine	GSK3B
fluoxetine	HTR1B
fluoxetine	BDNF
fluoxetine	TPH1
fluoxetine	SRP19
casimersen	DMD
acetylcholine	ACE
boceprevir	IFNL3
boceprevir	IFNL4
boceprevir	ABCB1
boceprevir	VDR
boceprevir	SLC28A2
dicloxacillin	ABCB1
dicloxacillin	NR1I2
avatrombopag	CYP2C9
avatrombopag	F2
avatrombopag	F5
avatrombopag	PROC
avatrombopag	PROS1
avatrombopag	SERPINC1
cladribine	RRM1
cladribine	RRM2
cladribine	NT5C1A
cladribine	RRM2B
pertuzumab	ESR1
pertuzumab	PGR
pertuzumab	ERBB2
pertuzumab	ESR2
pramipexole	DRD3
drotrecogin_alfa	DRD1
drotrecogin_alfa	F5
venlafaxine	COMT
venlafaxine	TPH2
venlafaxine	ABCB1
venlafaxine	FKBP5
venlafaxine	GABRA6
venlafaxine	GABRP
venlafaxine	GABRQ
venlafaxine	GRIA3
venlafaxine	HTR1B
venlafaxine	SLC6A2
valsartan	SLCO1B1
remifentanil	COMT
remifentanil	CACNA2D2
remifentanil	ABCB1
remifentanil	OPRM1
remifentanil	ADRB2
migalastat	HNRNPH2
migalastat	GLA
modafinil	COMT
modafinil	ABCB1
modafinil	NR1I2
budesonide	CYP3A4
budesonide	NR1I2
budesonide	GLCCI1
trandolapril	CES1
trandolapril	PTPRD
timolol	CYP2D6
timolol	ADRB1
recombinant_interferon_alfa-2a	FTO
recombinant_interferon_alfa-2a	IDO1
recombinant_interferon_alfa-2a	HLA-B
oxycodone	COMT
oxycodone	CYP2C19
oxycodone	CYP3A4
oxycodone	RHBDF2
oxycodone	WBP2NL
oxycodone	SEPTIN3
oxycodone	ABCB1
oxycodone	OPRD1
oxycodone	OPRM1
oxycodone	UGT2B7
talazoparib	PALB2
talazoparib	CDK12
talazoparib	MLH1
talazoparib	BRCA1
talazoparib	BRCA2
talazoparib	ERBB2
talazoparib	FANCA
talazoparib	MRE11
talazoparib	NBN
talazoparib	RAD51C
talazoparib	CHEK2
talazoparib	ATM
talazoparib	ATR
Cremophor_EL	ABCB1
mexiletine	CYP2D6
mexiletine	SCN5A
methadone	COMT
methadone	TPH2
methadone	CYP3A4
methadone	ANKK1
methadone	NECTIN4
methadone	DRD1
methadone	NGF
methadone	GNB3
methadone	KCNH2
methadone	ALDH5A1
methadone	CDH2
methadone	CNR1
methadone	ABCB1
methadone	CYP2A7P1
methadone	CYP3A
methadone	DAO
methadone	DRD2
methadone	GAD1
methadone	H2AFX
methadone	KCNJ6
methadone	SLC6A4
methadone	NTRK2
methadone	BDNF
methadone	OPRD1
methadone	OPRK1
methadone	OPRL1
methadone	OPRM1
methadone	PNOC
methadone	CCL11
methadone	UGT2B7
methadone	NR1I2
methadone	TXNRD2
vecuronium	ABCB1
Alkylating_Agents	ESR1
Alkylating_Agents	EGFR
tianeptine	OPRM1
mitoxantrone	SLCO1B1
mitoxantrone	C10orf67
mitoxantrone	GALNT14
mitoxantrone	ABCB1
adagrasib	KRAS
Opium_alkaloids_and_derivatives	CHRNA3
Opium_alkaloids_and_derivatives	CHRNA5
polatuzumab_vedotin	BCL2
polatuzumab_vedotin	BCL6
polatuzumab_vedotin	MYC
chlorzoxazone	CYP3A4
nitrofurantoin	G6PD
rocuronium	SLCO1B1
rocuronium	ABCB1
rocuronium	IAPP
rocuronium	SLCO1A2
escitalopram	TSPAN5
escitalopram	RPP30
escitalopram	RFK
escitalopram	ERICH3
escitalopram	GRK5
escitalopram	BMP5
escitalopram	ABCB1
escitalopram	FKBP5
escitalopram	GLDC
escitalopram	HTR1B
escitalopram	HTR7
escitalopram	IL11
escitalopram	TPH1
trimethadione	CYP3A4
ribociclib	ESR1
ribociclib	PGR
ribociclib	ERBB2
ribociclib	ESR2
cisplatin	ABCC2
cisplatin	COMT
cisplatin	SLC31A1
cisplatin	CYP2E1
cisplatin	TMEM43
cisplatin	DCBLD1
cisplatin	OTOS
cisplatin	GALNT14
cisplatin	GALNT18
cisplatin	KLC3
cisplatin	POLR1G
cisplatin	ERCC1
cisplatin	ESR1
cisplatin	CMPK1
cisplatin	REV1
cisplatin	NAT2
cisplatin	APEX1
cisplatin	ACSS2
cisplatin	MTHFR
cisplatin	ACYP2
cisplatin	ADH1C
cisplatin	AKT1
cisplatin	AQP1
cisplatin	BLMH
cisplatin	CLCN6
cisplatin	ABCB1
cisplatin	CSNK2A3
cisplatin	CYBA
cisplatin	EIF3A
cisplatin	EPHX1
cisplatin	ERCC2
cisplatin	GPX5
cisplatin	GSTA1
cisplatin	GSTP1
cisplatin	RRM1
cisplatin	LIG3
cisplatin	LRP2
cisplatin	MAP3K1
cisplatin	MLLT3
cisplatin	MTHFD1
cisplatin	MTR
cisplatin	MUTYH
cisplatin	MYO1H
cisplatin	NQO1
cisplatin	NRAS
cisplatin	SLC19A1
cisplatin	OSGEP
cisplatin	SLC22A2
cisplatin	PIK3CA
cisplatin	PTEN
cisplatin	RAD52
cisplatin	RAF1
cisplatin	PPP1R13L
cisplatin	RARS1
cisplatin	REV3L
cisplatin	SLC16A5
cisplatin	XRCC1
cisplatin	UBE2I
cisplatin	VEGFA
cisplatin	XPC
cisplatin	ABCC3
cisplatin	NR1I2
cisplatin	ABCC4
cisplatin	CCND1
4-hydroxyestradiol	CYP1B1
cerliponase_alfa	TPP1
memantine	NR1I2
metabutethamine	G6PD
catecholamines	COMT
catecholamines	SLC22A3
catecholamines	ADRB1
entrectinib	NTRK1
entrectinib	NTRK2
entrectinib	NTRK3
entrectinib	ROS1
pregabalin	SLC7A5
netilmicin	MT-RNR1
plain_Thiazides	ACE
plain_Thiazides	GNB3
plain_Thiazides	SLC12A3
plain_Thiazides	SLCO2A1
plain_Thiazides	NELFCD
plain_Thiazides	AGTR1
fexofenadine	ABCB1
fexofenadine	SLCO2B1
ketanserin	HTR1B
peginterferon_alfa-2b	IFNL3
peginterferon_alfa-2b	CYP2R1
peginterferon_alfa-2b	SLC29A1
peginterferon_alfa-2b	IL6
peginterferon_alfa-2b	LDLR
peginterferon_alfa-2b	CYP27B1
peginterferon_alfa-2b	IDO1
peginterferon_alfa-2b	ITPA
peginterferon_alfa-2b	KIR2DS2
peginterferon_alfa-2b	MICB
peginterferon_alfa-2b	SLC6A4
peginterferon_alfa-2b	OASL
peginterferon_alfa-2b	HLA-A
peginterferon_alfa-2b	HLA-B
peginterferon_alfa-2b	HLA-C
peginterferon_alfa-2b	HLA-DPA1
peginterferon_alfa-2b	CXCL10
peginterferon_alfa-2b	VDR
peginterferon_alfa-2b	SLC28A2
peginterferon_alfa-2b	EGFR
nitrofurazone	G6PD
thiotepa	CYP2B6
thiotepa	ALDH1A1
thiotepa	GSTP1
etoposide	CYP3A4
etoposide	SLCO1B1
etoposide	C18orf56
etoposide	ERCC1
etoposide	GSTT1
etoposide	BLMH
etoposide	ABCB1
etoposide	DYNC2H1
etoposide	ERCC2
etoposide	GSTP1
etoposide	PLA2G6
etoposide	TYMS
etoposide	SLIT1
paclitaxel	ABCC2
paclitaxel	CYP3A5
paclitaxel	SLCO1B1
paclitaxel	FGD4
paclitaxel	SLC29A1
paclitaxel	ERCC1
paclitaxel	GSTM1
paclitaxel	ABCC1
paclitaxel	ACSS2
paclitaxel	BCL2
paclitaxel	CASP7
paclitaxel	ABCB1
paclitaxel	CYP1B1
paclitaxel	DSCAM
paclitaxel	EPHA5
paclitaxel	FNTB
paclitaxel	MAP3K1
paclitaxel	OPRM1
paclitaxel	RAF1
paclitaxel	SLCO1B3
paclitaxel	SOD2
paclitaxel	SOX10
paclitaxel	MAD1L1
paclitaxel	NR1I2
paclitaxel	SPATA5
paclitaxel	ABCG2
paclitaxel	CDA
rivaroxaban	CYP2C19
rivaroxaban	CYP3A4
rivaroxaban	F5
rivaroxaban	ABCB1
pioglitazone	CYP2C9
pioglitazone	ADIPOQ
pioglitazone	PPARG
pioglitazone	G6PD
pioglitazone	PTPRD
pioglitazone	NR1I2
ustekinumab	TIRAP
ustekinumab	IL12A
ustekinumab	IL12B
ustekinumab	IL1B
ustekinumab	IL23A
ustekinumab	HLA-C
ustekinumab	TLR5
ustekinumab	TNFAIP3
dihydroergotamine	HTR1B
methamphetamine	ANKS1B
methamphetamine	DAOA
methamphetamine	ESR1
methamphetamine	HTR1A
methamphetamine	DRD3
methamphetamine	DTNBP1
methamphetamine	FAAH
methamphetamine	GRIN1
methamphetamine	BDNF
methamphetamine	OPRM1
methamphetamine	PICK1
methamphetamine	ARRB2
vancomycin	HLA-A
insulin_recombinant	SLC30A8
dimercaprol	G6PD
thioguanine	LINC00251
thioguanine	NAT1
thioguanine	BMP7
thioguanine	DOK5
thioguanine	CPT1A
thioguanine	GATA3
thioguanine	IGHMBP2
vernakalant	CYP2D6
non-selective_monoamine_reuptake_inhibitors	SCN5A
Glucarpidase	SLCO1B1
Glucarpidase	ARID5B
Glucarpidase	GATA3
Glucarpidase	INSRR
Glucarpidase	NTRK1
Glucarpidase	ABCC4
revumenib	KMT2A
panitumumab	AREG
panitumumab	BTC
panitumumab	HBEGF
panitumumab	EGF
panitumumab	EREG
panitumumab	KRAS
panitumumab	NRAS
panitumumab	NRG1
panitumumab	NRG2
panitumumab	NRG3
panitumumab	TGFA
panitumumab	EGFR
db-289	CYP4F2
fesoterodine	CYP2D6
fesoterodine	CYP3A4
ephedrine	ADRB2
eplerenone	ATP1A1
clobazam	SCN1A
clobazam	POR
gramicidin_d	ABCB1
tezacaftor	CFTR
flupenthixol	CYP2D6
flupenthixol	ABCB1
prenylamine	KCNH2
domperidone	ABCB1
cannabinoids	KAT2B
cannabinoids	FAAH
cannabinoids	OPRM1
carbamazepine	ABCC2
carbamazepine	CYP2C8
carbamazepine	MTHFR
carbamazepine	PRRC2A
carbamazepine	BAG6
carbamazepine	CYP1A1
carbamazepine	EPHX1
carbamazepine	GABRA1
carbamazepine	HNF4A
carbamazepine	HSPA1A
carbamazepine	HSPA1L
carbamazepine	SCN1A
carbamazepine	LTA
carbamazepine	RALBP1
carbamazepine	SCN2A
carbamazepine	HLA-DQB1
carbamazepine	HLA-DRB1
carbamazepine	UGT2B7
carbamazepine	NR1I2
carbamazepine	NR1I3
carbamazepine	TNF
goserelin	ESR1
goserelin	PGR
goserelin	ESR2
perindopril	ACE
perindopril	G6PD
perindopril	AGTR1
perindopril	BDKRB1
2-oxo-clopidogrel	CES1
promethazine	CYP2D6
penicillin_g	HLA-B
calcipotriol	VDR
S-EDDP	CYP2B6
S-EDDP	CYP3A5
S-EDDP	UGT2B7
class_i_and_iii_antiarrhythmics	KCNJ11
esomeprazole	CYP3A5
esomeprazole	STAT6
didanosine	NT5C2
didanosine	XDH
antithrombotic_agents	G6PD
trastuzumab_deruxtecan	ESR1
trastuzumab_deruxtecan	ERBB2
trastuzumab_deruxtecan	ESR2
buprenorphine	COMT
buprenorphine	CYP3A4
buprenorphine	CYP3A5
buprenorphine	ADAMTSL2
buprenorphine	SLC6A3
buprenorphine	SLC6A4
buprenorphine	OPRD1
buprenorphine	OPRM1
buprenorphine	PNOC
buprenorphine	UGT2B7
buprenorphine	ARRB2
Valspodar	ABCB1
vilazodone	CYP3A4
vilazodone	HTR2A
vilazodone	SLC6A4
rifapentine	NAT2
rifapentine	NR1I2
nedocromil	GLCCI1
clofibrate	CYP4F2
cariprazine	CYP2D6
elbasvir_/_grazoprevir	IFNL3
Other_general_anesthetics	OPRM1
Other_general_anesthetics	ABCG2
aceclofenac	CYP2C9
pitolisant	CYP2D6
pitolisant	HRH3
lutetium_(177lu)_vipivotide_tetraxetan	FOLH1
sofosbuvir_/_velpatasvir_/_voxilaprevir	IFNL3
aripiprazole_lauroxil	CYP2D6
mifepristone	CYP3A4
mifepristone	ABCB1
pyrazinamide	CYP2B6
pyrazinamide	CYP2C19
pyrazinamide	CYP2C9
pyrazinamide	NAT2
pyrazinamide	TNF
varenicline	HYKK
varenicline	CHRFAM7A
deuruxolitinib	CYP2C9
nalidixic_acid	G6PD
granisetron	CYP2D6
granisetron	CYP3A4
granisetron	CYP3A5
granisetron	NOS1AP
granisetron	ERCC1
granisetron	ABCB1
granisetron	CYP1A1
moviprep	G6PD
XR9051	ABCB1
dipyrone	CYP2C19
dipyrone	CYP2C9
dipyrone	NAT2
astemizole	CYP3A4
astemizole	KCNH2
astemizole	ABCB1
astemizole	CYP2J2
lonafarnib	CYP3A4
lonafarnib	LMNA
lonafarnib	FNTB
lonafarnib	ZMPSTE24
ethinyl_estradiol_/_norelgestromin	F2
ethinyl_estradiol_/_norelgestromin	F5
ethinyl_estradiol_/_norelgestromin	MTHFR
ethinyl_estradiol_/_norelgestromin	PROC
ethinyl_estradiol_/_norelgestromin	PROS1
ethinyl_estradiol_/_norelgestromin	SERPINC1
asciminib	ABL1
asciminib	BCR
sulfadoxine	IKBKG
8-oxo-dGTP	NUDT1
naloxone	COMT
naloxone	OPRM1
sulfanilamide	G6PD
ranibizumab	ARMS2
ranibizumab	CFH
ranibizumab	NRP1
ranibizumab	HTRA1
ranibizumab	VEGFA
elacridar	ABCB1
elacridar	ABCG2
capivasertib	ESR1
capivasertib	AKT1
capivasertib	ERBB2
capivasertib	ESR2
capivasertib	PIK3CA
capivasertib	PIK3CD
capivasertib	PTEN
pitavastatin	ABCC2
pitavastatin	CYP2C9
pitavastatin	CYP3A4
pitavastatin	CYP3A5
pitavastatin	SLCO1B1
pitavastatin	HMGCR
pitavastatin	LDLR
pitavastatin	HLA-DRB1
pitavastatin	PCSK9
pitavastatin	ABCG2
pitavastatin	APOB
naltrexone	COMT
naltrexone	ANKK1
naltrexone	DBH
naltrexone	ADH1B
naltrexone	ADH1C
naltrexone	AKR1C4
naltrexone	ALDH2
naltrexone	DRD2
naltrexone	OPRD1
naltrexone	OPRM1
interferon_beta-1a	ZNF697
interferon_beta-1a	GAPVD1
interferon_beta-1a	CD58
interferon_beta-1a	FHIT
interferon_beta-1a	IRF6
interferon_beta-1a	RORA
interferon_beta-1a	HLA-B
interferon_beta-1a	HLA-DQA1
interferon_beta-1a	HLA-DRB1
anakinra	NLRP3
anakinra	HLA-DRB1
n,o-didesmethyltramadol	CYP2D6
hormonal_contraceptives_for_systemic_use	CYP2C9
hormonal_contraceptives_for_systemic_use	F2
hormonal_contraceptives_for_systemic_use	F5
hormonal_contraceptives_for_systemic_use	KNG1
hormonal_contraceptives_for_systemic_use	ABO
hormonal_contraceptives_for_systemic_use	SUGCT
hormonal_contraceptives_for_systemic_use	F11
pegloticase	G6PD
Incl._Combinations_Vitamin_B-complex	MTHFR
amisulpride	ANKS1B
amisulpride	RABEP1
amisulpride	SH2B1
amisulpride	HTR1A
amisulpride	ABCB1
amisulpride	DRD2
amisulpride	MC4R
corr-4a	CFTR
Proton_pump_inhibitors	CYP2C19
nelfinavir	CYP2C19
nelfinavir	CYP3A4
nelfinavir	CYP3A5
nelfinavir	ABCB1
blinatumomab	ABL1
blinatumomab	BCR
blinatumomab	CD19
ambrisentan	CYP2C19
dorzolamide	CYP3A4
irinotecan	CES1
irinotecan	ABCC2
irinotecan	DCBLD1
irinotecan	C18orf56
irinotecan	C8orf34
irinotecan	DPYD
irinotecan	KLC1
irinotecan	ABCC1
irinotecan	ABCG1
irinotecan	AREG
irinotecan	BCHE
irinotecan	ABCB1
irinotecan	KCNQ5
irinotecan	SLC19A1
irinotecan	PIN1
irinotecan	RGS5
irinotecan	TGFB1
irinotecan	TOP1
irinotecan	SEMA3C
irinotecan	SHMT1
irinotecan	TYMS
irinotecan	TGFBR2
irinotecan	UBE2I
irinotecan	UGT1A
irinotecan	VDR
irinotecan	VEGFA
irinotecan	XRCC3
irinotecan	CES2
irinotecan	NR1I2
irinotecan	ABCG2
irinotecan	ABCC5
irinotecan	ABCC4
irinotecan	UGT1A9
codeine	COMT
codeine	CYP3A4
codeine	WBP2NL
codeine	SEPTIN3
codeine	ABCB1
codeine	OPRM1
codeine	UGT2B7
dibekacin	MT-RNR1
lovastatin	CETP
lovastatin	CYP2D6
lovastatin	CYP3A4
lovastatin	CYP3A5
lovastatin	SLCO1B1
lovastatin	HMGCR
lovastatin	LDLR
lovastatin	APOA5
lovastatin	ABCB1
lovastatin	CYP4F2
lovastatin	NR1I2
lovastatin	ABCG2
nemonapride	ANKK1
nemonapride	DRD2
indacaterol	UGT1A1
viloxazine	CYP2D6
viloxazine	SLCO1B1
ropivacaine	CYP3A4
ropivacaine	CYB5R3
ropivacaine	G6PD
clomipramine	CYP3A4
clomipramine	CYP3A5
clomipramine	ABCB1
clomipramine	CYP1A2
clomipramine	FKBP5
clomipramine	HTR1B
clomipramine	SLC6A4
cocaine	CHRNA3
cocaine	CYP3A4
cocaine	KAT2B
cocaine	BCHE
cocaine	CHRNA5
cocaine	CNR1
cocaine	DRD2
cocaine	GABRA2
cocaine	SCN5A
cocaine	SLC6A3
cocaine	OPRD1
cocaine	OPRK1
cocaine	OPRM1
cocaine	SYT1
vortioxetine	CYP2D6
vortioxetine	HTR2A
vortioxetine	SLC6A4
griseofulvin	NR1I2
fenofibrate	CRP
fenofibrate	CYP3A5
fenofibrate	SLCO1B1
fenofibrate	IL6
fenofibrate	LPL
fenofibrate	ABCA1
fenofibrate	APOA5
fenofibrate	FABP1
fenofibrate	PPARA
fenofibrate	HLA-A
fenofibrate	APOA1
fenofibrate	APOB
fenofibrate	APOE
fenofibrate	SCARB1
selective_beta-2-adrenoreceptor_agonists	ARG1
selective_beta-2-adrenoreceptor_agonists	CRHR2
selective_beta-2-adrenoreceptor_agonists	VDR
selective_beta-2-adrenoreceptor_agonists	ADRB1
selective_beta-2-adrenoreceptor_agonists	ADRB2
thyrotropin_alfa	FSHR
palbociclib	CDKN2A
palbociclib	ESR1
palbociclib	PGR
palbociclib	ERBB2
palbociclib	ESR2
amoxapine	CYP2D6
esmolol	GRK5
esmolol	GRK4
esmolol	ADRA2C
esmolol	ADRB1
